epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.24238827063131166,0.9264194669756662,0.4090840723415887,0.8716216216216216,0.8109854730691155,0.890012525788388,0.8442675383669167,0.8744330663949794,0.001,436.06
2,0.2113393322842008,0.9272885283893395,0.3915749531415467,0.8756756756756757,0.8225478972376468,0.8808878880538362,0.8458294809743488,0.8777648748273854,0.001,417.68
3,0.1172546854335491,0.9597334878331402,0.389684307611409,0.8837837837837837,0.8475248225931163,0.8780752652519893,0.8599239609271202,0.8845875970319116,5e-05,469.8
4,0.07837290171887791,0.97045191193511,0.39339788458561775,0.8837837837837837,0.8406479659201926,0.8926031842518911,0.862596858964088,0.8857121021908245,5e-05,466.08
5,0.07556236028964798,0.973928157589803,0.4102319613456603,0.8837837837837837,0.8318257106212907,0.8978414505354161,0.8589414790681777,0.8857231098352626,5e-05,361.97
6,0.056311469821330604,0.9785631517960602,0.4450858011254978,0.8810810810810811,0.8576288268611891,0.8760327635327635,0.8631878560329688,0.8826096258860537,5e-05,300.42
7,0.0638014535777927,0.9716106604866744,0.42337553206531525,0.8878378378378379,0.8440049697443507,0.8973510106592004,0.8651988944220468,0.8908735081278891,5e-05,311.31
8,0.053128770455450405,0.9794322132097335,0.44663268841737785,0.8783783783783784,0.841851238963412,0.8925413228214953,0.8613813153077694,0.88050590187263,5e-05,356.45
9,0.0533818892194638,0.9782734646581692,0.4107495358333737,0.8905405405405405,0.867360631496688,0.8795264760782002,0.8716711028452828,0.8922229155133017,5e-05,321.55
10,0.046047301395868545,0.9820393974507532,0.47606853957365053,0.8824324324324324,0.8735675899092951,0.8737228607918264,0.870037998135543,0.8834929983100384,5e-05,399.0
11,0.04228009890601997,0.9843568945538818,0.5115890082196455,0.8702702702702703,0.8330329573280396,0.875278453187936,0.8473081576179348,0.8719635957525306,5e-05,396.1
12,0.04528395432616268,0.9831981460023175,0.4746709607426424,0.8743243243243243,0.8216606871102508,0.8697836845466156,0.8421278715754773,0.8765157556668546,5e-05,394.1
13,0.0369953697470156,0.9858053302433372,0.5058790049680258,0.8824324324324324,0.8392257956731127,0.8863511887218783,0.8571349120711238,0.8853990275483274,5e-05,483.14
14,0.04972746496672633,0.9808806488991889,0.49115510605152923,0.8756756756756757,0.8275999506972824,0.8755618184497496,0.8482959788232832,0.877480050782326,5e-05,561.35
