epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,learning_rate,elapsed_seconds
11,0.547482223251051,0.9837775202780996,0.8990108551205815,0.8567567567567568,0.8059325681593011,0.8603285764382773,0.0009953895432879838,1133.16
12,0.5333610671558358,0.9846465816917729,0.9277357744204031,0.8702702702702703,0.8187638282327205,0.873869063420801,0.0009816440572371606,2407.18
13,0.500699306694685,0.9956546929316339,0.9221360625447453,0.8689189189189189,0.8153599935225356,0.8730033761212487,0.0009590195942451991,3391.66
14,0.5122855280807646,0.9921784472769409,0.9431825336572286,0.85,0.785594257418067,0.8540470696651922,0.0009279376052505117,4135.08
15,0.5202497680383376,0.9918887601390498,0.9276862009151562,0.85,0.7935350615140784,0.854546667888162,0.0008889770888986878,4779.08
16,0.5212282912065367,0.9881228273464658,0.9091152793652303,0.8729729729729729,0.8257888113012113,0.8741730699903992,0.0008428638058932338,5484.07
17,0.7062190856055064,0.9049826187717266,0.9958388391378764,0.8391891891891892,0.7847539143201399,0.8474490262866107,0.0007904567594468592,6186.62
18,0.6423955487210394,0.9284472769409038,0.9554148538692577,0.8540540540540541,0.7930389580596969,0.8583993571952024,0.0007327321936769202,6886.29
19,0.6321430703579758,0.9339513325608343,1.0003646869917173,0.8472972972972973,0.8019762517879381,0.8551364073224192,0.0006707654080246382,7610.62
20,0.6058954385865744,0.955388180764774,0.9078582842607756,0.8797297297297297,0.848051869252222,0.8826904699843084,0.0006057107264610537,8474.55
21,0.5987618809365176,0.9577056778679026,0.8980112546199077,0.8662162162162163,0.8307408099617842,0.8687804101119132,0.0005387799946155123,9771.72
22,0.5857113753105508,0.9597334878331402,0.8904344979170207,0.8743243243243243,0.8295944446434269,0.8782943861772537,0.00047122000538448794,10972.99
23,0.564568370822407,0.9655272305909618,0.8766332199444642,0.8743243243243243,0.8342564074447559,0.8772706590692514,0.00040428927353894627,12061.19
24,0.5704980029153658,0.9608922363847046,0.8729832104734472,0.8891891891891892,0.8503440955463475,0.8932512293855416,0.00033923459197536185,12847.09
25,0.5664892768528342,0.9634994206257242,0.8678033368007557,0.8824324324324324,0.8517835934405199,0.8858365529055184,0.0002772678063230797,13660.97
