epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.9754275394342451,0.9333719582850522,1.2863219167735125,0.8675675675675676,0.8095226126834145,0.8906839448865311,0.8403722795746745,0.8712533451646057,0.001,354.09
2,0.9596563228173991,0.9348203939745076,1.2684700985212585,0.8797297297297297,0.8336636229378196,0.8851108900677866,0.8535039678076304,0.8829484411920073,0.001,380.16
3,0.9066466029521902,0.9637891077636153,1.2686900116301871,0.8743243243243243,0.8328863385949347,0.8764363211022694,0.8483730377325329,0.8771444054657676,5e-05,438.05
4,0.8845651563459863,0.9730590961761297,1.2704463932965253,0.8608108108108108,0.8075638753379718,0.8819754519107967,0.8369830128943766,0.8645074502147584,5e-05,531.88
5,0.8762364568467212,0.977694090382387,1.270804382014919,0.8527027027027027,0.8075562230552981,0.8543752763041557,0.8240361462233611,0.8568023374724341,5e-05,475.19
6,0.865111077232405,0.9829084588644265,1.2739159600154775,0.8662162162162163,0.8177958358336597,0.8781874754396306,0.8388599881600342,0.8697895084535008,5e-05,426.69
7,0.8626920297690089,0.9797219003476245,1.2493096809129458,0.8716216216216216,0.8133983994385771,0.8955445954907161,0.8433388430776508,0.8750663048183046,5e-05,436.46
8,0.8580567371251271,0.9858053302433372,1.2660920481424074,0.8756756756756757,0.8178523181183385,0.8921767548383926,0.8465352693487945,0.8786586399681998,5e-05,385.2
