epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.6367774811570089,0.9380069524913094,0.9178734304131688,0.8716216216216216,0.8150848456265345,0.8983183822084685,0.8469970348942719,0.8757188888966992,0.001,342.92
2,0.6282800583822841,0.9406141367323291,0.8931618456904953,0.8810810810810811,0.8340567125910693,0.889568904116318,0.8561914112325877,0.8839274469208851,0.001,449.57
3,0.5692497100227816,0.9666859791425261,0.9088035812249055,0.8783783783783784,0.8346986316489455,0.8805985362019845,0.8528480495381034,0.8807615616130052,5e-05,563.91
4,0.549093623564666,0.9785631517960602,0.9092790616525186,0.8635135135135135,0.8130192655779803,0.881396748207093,0.8406547830137628,0.866809755746891,5e-05,615.23
5,0.5398986534337455,0.9805909617612978,0.9139987984219113,0.8513513513513513,0.8100755916425239,0.8417635266234405,0.8204018085737537,0.8546121539401648,5e-05,651.53
6,0.5294306218140648,0.9855156431054461,0.9101779394858592,0.8675675675675676,0.8202079353315358,0.8778467003143727,0.8421989446983259,0.8704399528001289,5e-05,682.41
7,0.5278937991358866,0.9817497103128621,0.8839462381762427,0.8716216216216216,0.8159866818077912,0.8870505452402003,0.8420124480274542,0.8738191457631238,5e-05,694.67
8,0.5209825615617657,0.9875434530706837,0.9055191595812102,0.8824324324324324,0.8386585723421942,0.8941592371549267,0.8597914909423585,0.884871796696415,5e-05,476.66
9,0.522057283035159,0.9863847045191193,0.9113377985116597,0.8702702702702703,0.8041928304965054,0.8895883989095196,0.8361812139929657,0.8738371320495578,5e-05,436.66
10,0.517404645232447,0.9892815758980301,0.9253160737656259,0.8581081081081081,0.8247314451614965,0.8617834512231064,0.8371407531643648,0.8587727743001587,5e-05,429.07
11,0.517277146338864,0.9895712630359212,0.9207314072428523,0.8621621621621621,0.8075655063280269,0.8621487867177522,0.8266835086087858,0.8647995888926255,5e-05,426.02
12,0.5199920829312136,0.9904403244495944,0.9093989605839188,0.8716216216216216,0.8091920253433068,0.8746662859809412,0.8352590508535424,0.8747696133815116,5e-05,429.57
13,0.5128735819807749,0.9933371958285052,0.9160526886179641,0.8621621621621621,0.8056742953193963,0.8541158574024954,0.8240393782192518,0.8651173509770076,5e-05,434.73
