epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.6367767593399261,0.9380069524913094,0.9178447612234064,0.8716216216216216,0.8150848456265345,0.8983183822084685,0.8469970348942719,0.8757188888966992,0.001,432.89
2,0.6282800844895329,0.9406141367323291,0.8931267633631422,0.8810810810810811,0.8340567125910693,0.889568904116318,0.8561914112325877,0.8839274469208851,0.001,386.14
3,0.569246641108777,0.9666859791425261,0.9087683832323229,0.8783783783783784,0.8346986316489455,0.8805985362019845,0.8528480495381034,0.8807615616130052,5e-05,349.35
4,0.549091094614871,0.9785631517960602,0.9092469840436368,0.8635135135135135,0.8130192655779803,0.881396748207093,0.8406547830137628,0.866809755746891,5e-05,350.56
5,0.5398963216005858,0.9805909617612978,0.9139544176088797,0.8513513513513513,0.8100755916425239,0.8417635266234405,0.8204018085737537,0.8546121539401648,5e-05,349.49
6,0.5294272838503571,0.9855156431054461,0.9101194132018734,0.8675675675675676,0.8202079353315358,0.8778467003143727,0.8421989446983259,0.8704399528001289,5e-05,352.84
7,0.5278906489993302,0.9817497103128621,0.8839147090911865,0.8702702702702703,0.814616115607915,0.886731260438157,0.8408210065525291,0.8726664995438573,5e-05,353.64
8,0.5209809382157973,0.9875434530706837,0.9054521228816058,0.8824324324324324,0.8386585723421942,0.8941592371549267,0.8597914909423585,0.884871796696415,5e-05,348.23
9,0.5220536783700194,0.9863847045191193,0.911296878795366,0.8702702702702703,0.8041928304965054,0.8895883989095196,0.8361812139929657,0.8738371320495578,5e-05,350.54
10,0.5174045334823715,0.9892815758980301,0.9252784170008994,0.8581081081081081,0.8247314451614965,0.8617834512231064,0.8371407531643648,0.8587727743001587,5e-05,352.58
11,0.5172730612450928,0.9895712630359212,0.920683369604317,0.8621621621621621,0.8075655063280269,0.8621487867177522,0.8266835086087858,0.8647995888926255,5e-05,351.82
12,0.5199891630633543,0.9904403244495944,0.90935314426551,0.8716216216216216,0.8091920253433068,0.8746662859809412,0.8352590508535424,0.8747696133815116,5e-05,360.19
13,0.5128712024224592,0.9933371958285052,0.9159994492659698,0.8621621621621621,0.8056742953193963,0.8541158574024954,0.8240393782192518,0.8651173509770076,5e-05,355.99
