epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.25007033876444484,0.9371378910776361,0.45709830363457266,0.8689189189189189,0.8157910872256171,0.8956029263680126,0.8458503618043437,0.8730742768377028,0.001,230.52
2,0.23088650521093834,0.9452491309385863,0.43902787650759156,0.8783783783783784,0.8366248763660011,0.8863346104725416,0.8548944508063996,0.8810226976489607,0.001,275.38
3,0.15199309792952356,0.9692931633835458,0.40641360523531567,0.8824324324324324,0.8424574029631988,0.8851982328814224,0.8590753193707328,0.8844613206686243,5e-05,287.56
4,0.128973288468041,0.9829084588644265,0.4310056892802586,0.8810810810810811,0.834249121456559,0.8750664664996561,0.8512977007337534,0.8840194039856389,5e-05,322.84
5,0.12353817994252003,0.9831981460023175,0.42518325435954174,0.8729729729729729,0.8326524566021144,0.8733906817958542,0.8473468681516176,0.8756501004668389,5e-05,497.24
6,0.10926452653778249,0.9855156431054461,0.4274796912597643,0.8689189189189189,0.8471286927126447,0.8607299648786717,0.8463284929951597,0.8706445104282942,5e-05,440.63
7,0.11192957838071318,0.9843568945538818,0.4108389124274254,0.8891891891891892,0.8523966161888111,0.8883232328814226,0.8632662100649906,0.8920304398260891,5e-05,434.71
8,0.10388800999104356,0.9898609501738123,0.40657216871308316,0.8851351351351351,0.8561682704576543,0.8780332056194126,0.8637277780492777,0.8868015505641834,5e-05,515.75
9,0.10331153256661094,0.9907300115874855,0.4048723590837137,0.8837837837837837,0.8592854301287443,0.8714550176834659,0.8613589824470386,0.8857085426209255,5e-05,339.63
10,0.09796320957801848,0.9921784472769409,0.38299162284143873,0.8743243243243243,0.8528249460217746,0.8617206687788586,0.8536129912318305,0.8753729323254397,5e-05,312.93
11,0.10203349255327554,0.9904403244495944,0.3983591575779625,0.8783783783783784,0.8563965669871038,0.8723270642990469,0.8589354533673021,0.8798281589795006,5e-05,310.38
12,0.09966701502250216,0.9930475086906141,0.3948865169004814,0.8743243243243243,0.8375528120496725,0.8613066730523626,0.846729318560277,0.8756326660875341,5e-05,309.92
13,0.09503127918562497,0.9942062572421785,0.41844910013715964,0.8756756756756757,0.8532720246203784,0.8651407002161312,0.8540446635351279,0.8779308641358978,5e-05,309.43
