epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.6367774811570089,0.9380069524913094,0.9178734304131688,0.8716216216216216,0.8150848456265345,0.8983183822084685,0.8469970348942719,0.8757188888966992,0.001,518.17
2,0.6282798178917011,0.9406141367323291,0.8931614357071954,0.8810810810810811,0.8340567125910693,0.889568904116318,0.8561914112325877,0.8839274469208851,0.001,642.57
3,0.5650015634291418,0.9681344148319815,0.8901250375283731,0.8810810810810811,0.8404773332381668,0.8771327610767267,0.8526803771125038,0.8829051356993556,1e-05,598.97
4,0.5458671781444882,0.9791425260718424,0.9017029074398247,0.8716216216216216,0.8161389264402347,0.8837734244523037,0.8437827433263823,0.8746744149477056,1e-05,477.34
5,0.5398033546545,0.9797219003476245,0.8980200537153192,0.8689189189189189,0.8139918457523979,0.8680750503487572,0.8325895098036716,0.871707701310652,1e-05,367.26
6,0.5282273337434921,0.9858053302433372,0.9015197560593888,0.8729729729729729,0.8320286908857728,0.8837514736221633,0.8521721088103316,0.8761525165966257,1e-05,367.06
7,0.5281287352290104,0.9829084588644265,0.8847577344726871,0.8756756756756757,0.8149569610482011,0.8805670682287061,0.8377754790244336,0.8790441492056161,1e-05,375.17
8,0.5220474505479753,0.9884125144843569,0.9026252666035214,0.8756756756756757,0.8340015462931724,0.8810894365851263,0.8528322315324917,0.877625553751158,1e-05,364.38
9,0.5225149426233727,0.9855156431054461,0.8985506218832893,0.8756756756756757,0.828260555280104,0.882757239168877,0.8481596076144363,0.8789731428763872,1e-05,380.56
10,0.5185958319025272,0.9892815758980301,0.9033634110077008,0.8675675675675676,0.8369934740036217,0.8636838098044994,0.8444348410969114,0.8689013950913984,1e-05,399.41
11,0.5182383099478062,0.9910196987253765,0.9168764214257936,0.8554054054054054,0.8139301561102196,0.8626356960408684,0.8298113288080178,0.8583899279485088,1e-05,391.63
12,0.5177428709258901,0.9910196987253765,0.9159957550667428,0.8662162162162163,0.8105786705730802,0.8690852490421457,0.8330643917342617,0.8695708618188984,1e-05,382.48
13,0.5127448735894637,0.9944959443800695,0.9328609443999626,0.8635135135135135,0.8187663960198655,0.8625414456233422,0.8333985848779294,0.8671155903538186,1e-05,381.68
