epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.20806227970613667,0.9397450753186558,0.4220124074736157,0.8743243243243243,0.816131673101856,0.9039872224678258,0.8522270724444456,0.8773066922423686,0.001,413.9
2,0.18304018219576787,0.9391657010428737,0.38436598050710113,0.8783783783783784,0.8233885606600192,0.8866964154140878,0.8493418923142124,0.8811506048497231,0.001,419.61
3,0.09349684737329204,0.9669756662804172,0.40349796018594675,0.8810810810810811,0.8423622023956472,0.8706723094115335,0.8530274387239092,0.8822854783066313,5e-05,450.73
4,0.06378865791840839,0.9771147161066048,0.4028633479771481,0.8770270270270271,0.8309016729986016,0.887481119216033,0.8542646550984354,0.8793591220405567,5e-05,305.43
5,0.05883786322814461,0.9779837775202781,0.4242352600519331,0.8743243243243243,0.8272590697510367,0.8870456331663228,0.8515517799025738,0.8763307402883574,5e-05,307.7
6,0.04575899931756501,0.9826187717265353,0.45701446643404386,0.8756756756756757,0.8521311605548652,0.876238763631005,0.8606358210005669,0.8766583990287024,5e-05,294.26
7,0.04577947168385444,0.9803012746234068,0.42351987302582356,0.8797297297297297,0.8379579373068341,0.8867631889183614,0.8555490637918174,0.882540030148726,5e-05,328.71
8,0.03793970651726043,0.984936268829664,0.4409170165750815,0.8851351351351351,0.8444429388555356,0.8941466499656155,0.8647788278384573,0.8864529855975056,5e-05,426.51
9,0.03606976296262749,0.9858053302433372,0.41286258166964634,0.8851351351351351,0.8560739819633115,0.8758531658316141,0.8634845417585759,0.8867882934491519,5e-05,297.94
10,0.03334247740228398,0.9866743916570104,0.48737605647986276,0.8797297297297297,0.8708306566746116,0.8700211526181354,0.8665570413510357,0.8803388823603171,5e-05,303.72
11,0.029639762536102423,0.9881228273464658,0.5091802089464083,0.8702702702702703,0.8390295882835961,0.87321047008547,0.8510132221345109,0.8710476232421401,5e-05,299.66
12,0.0277300522174915,0.9933371958285052,0.4675162043680069,0.8716216216216216,0.8235674616009767,0.8600679094213577,0.8391840280375239,0.8730579330792932,5e-05,293.01
13,0.024549823152635198,0.9904403244495944,0.496478721075825,0.8783783783783784,0.8445993103367149,0.8679313721878377,0.8526610522461862,0.8806571777310809,5e-05,1152.29
14,0.03190181123066871,0.9889918887601391,0.48720295554911086,0.8729729729729729,0.8215941439024633,0.8723210777090088,0.8433477474574175,0.8746768999393142,5e-05,378.24
15,0.03841698253829451,0.9843568945538818,0.4816142535503172,0.8797297297297297,0.8349513119377866,0.8937440134099616,0.8575145503632036,0.8820177913601159,5e-05,362.2
