epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.6367774811570089,0.9380069524913094,0.9178734304131688,0.8716216216216216,0.8150848456265345,0.8983183822084685,0.8469970348942719,0.8757188888966992,0.001,284.68
2,0.6282800583822841,0.9406141367323291,0.8931618456904953,0.8810810810810811,0.8340567125910693,0.889568904116318,0.8561914112325877,0.8839274469208851,0.001,309.92
3,0.5692497100227816,0.9666859791425261,0.9088035812249055,0.8783783783783784,0.8346986316489455,0.8805985362019845,0.8528480495381034,0.8807615616130052,5e-05,457.62
4,0.549093623564666,0.9785631517960602,0.9092790616525186,0.8635135135135135,0.8130192655779803,0.881396748207093,0.8406547830137628,0.866809755746891,5e-05,398.2
5,0.5398986534337455,0.9805909617612978,0.9139987984219113,0.8513513513513513,0.8100755916425239,0.8417635266234405,0.8204018085737537,0.8546121539401648,5e-05,401.05
6,0.5294306218140648,0.9855156431054461,0.9101779394858592,0.8675675675675676,0.8202079353315358,0.8778467003143727,0.8421989446983259,0.8704399528001289,5e-05,407.16
7,0.5278937991358866,0.9817497103128621,0.8839462381762427,0.8716216216216216,0.8159866818077912,0.8870505452402003,0.8420124480274542,0.8738191457631238,5e-05,370.21
