epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,learning_rate
1,1.342161944125232,0.4391657010428737,1.161525476945413,0.6202702702702703,0.5324824923453654,0.7285159703801944,0.5709297537365621,0.001
2,0.957366647062821,0.5347624565469293,1.125008392011797,0.6135135135135135,0.5448099726906842,0.7617103841241772,0.5731206938734403,0.001
3,0.7741234143667122,0.6071842410196987,1.006039814610739,0.6256756756756757,0.5782097158076156,0.7983972823951272,0.6042794459282638,0.0001
4,0.586028211397202,0.6697566628041715,0.902633495266373,0.6824324324324325,0.6043539543127427,0.8228944088319088,0.6502473646622514,0.0001
5,0.5075842758180921,0.709154113557358,0.7476003235457717,0.7486486486486487,0.6601858819769054,0.8603684669417428,0.7135916412047166,0.0001
6,0.42655140285834514,0.7572421784472769,0.764341327890351,0.7486486486486487,0.6638998797066749,0.8483239082915807,0.7083195442540616,0.0001
7,0.3884710248555397,0.7624565469293163,0.7229519093258155,0.7567567567567568,0.6485622225526142,0.8449255206798311,0.7084151698806985,0.0001
8,0.336902439697869,0.7865005793742758,0.6796183008851634,0.7648648648648648,0.6770461393591798,0.8656366661754593,0.7362550812478418,0.0001
9,0.31427773159873584,0.8085168018539977,0.726742648328277,0.7405405405405405,0.6644546913218593,0.8596465455840455,0.7192243826457123,0.0001
10,0.27630975738875696,0.8276361529548089,0.6667136596289237,0.7864864864864864,0.7104380548510565,0.8790077917771882,0.762918482950825,0.0001
11,0.2702959243592354,0.8366164542294322,0.5644475296743818,0.8054054054054054,0.7328770544865496,0.8689457154435603,0.7765676087318452,0.0001
12,0.25721018061231765,0.8426998841251448,0.5715661185718066,0.8,0.73551093190966,0.875605873612339,0.7828024754763293,0.0001
13,0.2495602496391376,0.8499420625724218,0.6093691248220166,0.7824324324324324,0.7055010327190708,0.8650404632085666,0.7590309350054664,0.0001
14,0.23401688039302826,0.8644264194669756,0.5720412548832797,0.7878378378378378,0.725359488871626,0.860410373072011,0.7705101224630939,0.0001
15,0.22621312279897382,0.8626882966396292,0.5910956016213105,0.8,0.7188168081554254,0.8702088859416446,0.7686677626517601,0.0001
16,0.18472305995219,0.8884704519119351,0.5345756980439497,0.8121621621621622,0.7456781287753503,0.864251768346596,0.7817337773678494,3e-05
17,0.17712315231958795,0.8852838933951332,0.5629076593366729,0.8094594594594594,0.7501586439572574,0.8651123022890264,0.789309779687777,3e-05
18,0.17988437175888866,0.8907879490150638,0.5364346625308531,0.8243243243243243,0.7504950550763718,0.8681290831614107,0.795935779312262,3e-05
19,0.17149681544421308,0.8951332560834299,0.5133071698474925,0.8121621621621622,0.7454150040390366,0.853689888495923,0.7825208992486309,3e-05
20,0.16403128362993513,0.8974507531865585,0.5150394139383492,0.8202702702702702,0.7423543391808448,0.8775280295215641,0.7908019062126379,3e-05
