epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,learning_rate,elapsed_seconds
1,0.9994255620662472,0.6613557358053302,1.1585939205578855,0.55,0.5745978939863282,0.5621731783200261,0.001,1578.29
2,0.7029465835450837,0.7601390498261877,0.9416580161079764,0.6837837837837838,0.6656680867775349,0.6966442963300035,0.001,2648.12
3,0.39196274865543856,0.8673232908458864,0.6425061906058643,0.7891891891891892,0.7411496232611152,0.7983806360875492,0.0001,3721.21
4,0.550638884996622,0.8174971031286211,0.9167269037269541,0.6486486486486487,0.6652205553820192,0.6603188717488292,0.001,4837.24
5,0.48834503696732834,0.8351680185399768,0.7882024186562646,0.7445945945945946,0.68632203960748,0.7512796158562565,0.001,5978.84
