class_name,precision,recall,f1,support
Cotton,0.9233128834355828,0.8649425287356322,0.8931750741839762,348
Denim,0.9565217391304348,0.9166666666666666,0.9361702127659575,96
Fleece,0.7777777777777778,0.7,0.7368421052631579,20
Nylon,0.5660377358490566,0.8333333333333334,0.6741573033707865,36
Polyester,0.7164179104477612,0.75,0.732824427480916,128
Silk,0.5135135135135135,0.95,0.6666666666666666,20
Terrycloth,1.0,1.0,1.0,16
Viscose,0.875,0.5833333333333334,0.7,24
Wool,0.8541666666666666,0.7884615384615384,0.82,52
