epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,learning_rate,elapsed_seconds
1,1.5345387084459237,0.5976245654692932,1.3634281867259257,0.6716216216216216,0.5835557732279697,0.6802190970385609,0.0009958086757163487,283.62
2,1.2875657924218913,0.6460023174971031,1.312046295887715,0.6891891891891891,0.6252182288778753,0.6988701527789438,0.0009833127793065096,583.81
3,1.1636249206847968,0.694380069524913,1.151849214450733,0.7445945945945946,0.6764840399617956,0.7560851866748118,0.0009953895432879838,959.42
4,0.9865132610325466,0.7743337195828505,1.1132623912514867,0.7621621621621621,0.711320134718576,0.7764725725090175,0.0009816440572371606,1363.06
5,0.9302480883835917,0.8006952491309386,1.0534562349319458,0.7783783783783784,0.7255932243321254,0.7911705974926453,0.0009590195942451991,1831.8
6,0.8506704739457901,0.831981460023175,1.055084627866745,0.8121621621621622,0.7448279134873199,0.8174119588362141,0.0009279376052505117,2270.94
7,0.8306655481820311,0.8487833140208575,0.9924672229869945,0.8175675675675675,0.7688336159968544,0.8253026529581973,0.0008889770888986878,2696.12
8,0.7855477094097734,0.8595017381228274,0.9820373030933174,0.8108108108108109,0.7687255810157606,0.8197601524822631,0.0008428638058932338,3093.95
9,0.7657788740524963,0.8849942062572422,1.041729722312979,0.8189189189189189,0.7806579127502373,0.827071825560564,0.0007904567594468592,3482.78
10,0.7349346633029288,0.8832560834298957,0.9981852853620374,0.8216216216216217,0.7925851792692726,0.825326461359119,0.0007327321936769202,3879.17
11,0.7173407809897342,0.8945538818076477,0.9611916052328574,0.8378378378378378,0.8086932681560728,0.843436089421468,0.0006707654080246382,4281.77
12,0.7115022611231268,0.8971610660486674,0.9569783038384205,0.8432432432432433,0.8100355705644757,0.8469692665284353,0.0006057107264610537,4675.46
13,0.68421657958423,0.9096176129779838,0.9607347256428487,0.8527027027027027,0.8227434383598957,0.8571311819400149,0.0005387799946155123,5055.92
14,0.6772887680511209,0.9171494785631518,0.9439933087374713,0.8594594594594595,0.8264247502564505,0.8643026953699168,0.00047122000538448794,5450.62
15,0.6747638317966793,0.9148319814600232,0.9480763673782349,0.8486486486486486,0.811429281485275,0.8544281351984984,0.00040428927353894627,5845.73
16,0.6464736957538998,0.9339513325608343,0.9290060289808222,0.8635135135135135,0.8326478758875012,0.868548112618448,0.00033923459197536185,6344.64
17,0.6437602576347519,0.9307647740440325,0.9497826608451637,0.8486486486486486,0.8219029842261399,0.8525970813030865,0.0002772678063230797,6826.29
18,0.643319747746336,0.93279258400927,0.942882426687189,0.8608108108108108,0.8305864503916719,0.8649355326826138,0.00021954324055314077,7302.59
19,0.6277341818477988,0.9374275782155272,0.891148033013215,0.8851351351351351,0.8667165937848992,0.8877556310140541,0.00016713619410676614,7772.66
20,0.6164146196938887,0.9411935110081112,0.9201634837163462,0.8662162162162163,0.8385713322654218,0.8700040579821131,0.00012102291110131224,8253.26
21,0.6299778645035842,0.9411935110081112,0.9102146564303217,0.8662162162162163,0.8391673628856813,0.8707052695185393,8.206239474948827e-05,8757.99
22,0.6261136489699088,0.9417728852838934,0.8909092845143498,0.8824324324324324,0.8619188222394153,0.8849851689703427,5.098040575480074e-05,9281.75
23,0.6139115357592374,0.9481460023174971,0.9009966665023083,0.8662162162162163,0.8384551890272139,0.8710091883015155,2.8355942762839376e-05,9785.4
24,0.6113508083314774,0.944380069524913,0.8938783927543743,0.8783783783783784,0.8525878411666349,0.8815414712926064,1.4610456712016332e-05,10210.58
