epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.6367774811570089,0.9380069524913094,0.9178734304131688,0.8716216216216216,0.8150848456265345,0.8983183822084685,0.8469970348942719,0.8757188888966992,0.001,279.98
2,0.6282803473577577,0.9406141367323291,0.8931623917979163,0.8810810810810811,0.8340567125910693,0.889568904116318,0.8561914112325877,0.8839274469208851,0.001,275.55
3,0.5780283022037387,0.9629200463499421,0.9325614951752328,0.8716216216216216,0.8353040196619695,0.879981456921112,0.8543068791656991,0.8739560113163569,0.0001,385.03
4,0.5601039029493807,0.9721900347624566,0.9309537853743579,0.85,0.8044772369537772,0.8632194653207583,0.8262387860020592,0.8547507076267438,0.0001,372.31
5,0.5489545755286896,0.9788528389339514,0.9239607733649177,0.8554054054054054,0.812431458978666,0.8484401095392475,0.8247004943697668,0.8597664884292885,0.0001,368.63
6,0.5388715084499721,0.9803012746234068,0.9220124898730098,0.8635135135135135,0.814954298718897,0.8603997814127124,0.8299051448371901,0.8660235688148781,0.0001,379.49
7,0.5375972424708264,0.9771147161066048,0.893957514698441,0.8702702702702703,0.8200221142250128,0.8864649339326063,0.8434316451710225,0.8726085552432647,0.0001,386.02
