epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.4796208176386315,0.9388760139049827,0.7461306072570182,0.8729729729729729,0.8186603431544199,0.902948011838098,0.8519258250450069,0.8765880763777232,0.001,441.15
2,0.4705875487620419,0.9426419466975666,0.7150715970509761,0.8810810810810811,0.8317118514194756,0.889568904116318,0.8553584497535087,0.8836055720793976,0.001,410.92
3,0.4079367594398463,0.9672653534183082,0.7416777683270944,0.8770270270270271,0.8347167917925988,0.8808280221534531,0.8529960450662502,0.879607641688721,5e-05,535.31
4,0.3888352185591347,0.9779837775202781,0.739794388977257,0.8635135135135135,0.809004906474228,0.8816861000589449,0.8380148165391571,0.8670401819547676,5e-05,552.57
5,0.37959159221737576,0.9805909617612978,0.7482434794709489,0.85,0.803562385149756,0.8461317418213969,0.8176569812366913,0.854141495347122,5e-05,592.09
6,0.36958315864913294,0.9855156431054461,0.7385942982660757,0.8689189189189189,0.8293763810290024,0.8728184251891148,0.8465238551459655,0.8709071331912682,5e-05,358.88
7,0.3689193525982898,0.9829084588644265,0.713079917269784,0.8783783783783784,0.8253245097933785,0.8894850918557816,0.8490075983678642,0.8801820430681756,5e-05,357.16
8,0.3606554920399866,0.9898609501738123,0.7362791939361676,0.8864864864864865,0.8436706559772497,0.8954064434129089,0.8640262317220577,0.8885786618665007,5e-05,352.35
9,0.36201740512980507,0.9884125144843569,0.7400302126600936,0.8743243243243243,0.8120370769195406,0.8832545866489832,0.840011032872787,0.8767147785315417,5e-05,357.18
10,0.35780537915809957,0.988702201622248,0.7610509229672922,0.8648648648648649,0.8399730769186492,0.861324479320169,0.8459773254853298,0.8649627826805034,5e-05,361.95
11,0.3567304014468939,0.9907300115874855,0.756080805610966,0.8635135135135135,0.8132442842431598,0.8569488960113961,0.8290915236462921,0.8647923055203534,5e-05,354.48
12,0.35970480058035736,0.9915990730011588,0.7454787280108478,0.8675675675675676,0.8049036349397236,0.8617955779054918,0.8269224619985832,0.8705380842873387,5e-05,356.7
13,0.3527894606457663,0.9927578215527231,0.7511633012745832,0.8635135135135135,0.8160914480414381,0.8521871008939974,0.8283701481421225,0.8665495973660657,5e-05,357.41
