epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.6367774811570089,0.9380069524913094,0.9178734304131688,0.8716216216216216,0.8150848456265345,0.8983183822084685,0.8469970348942719,0.8757188888966992,0.001,302.54
2,0.628279936272189,0.9406141367323291,0.8931616401350176,0.8810810810810811,0.8340567125910693,0.889568904116318,0.8561914112325877,0.8839274469208851,0.001,449.05
3,0.566726951927879,0.9669756662804172,0.8994909312274005,0.8824324324324324,0.8489106276593313,0.8770748907063561,0.8585731558445147,0.8844730223326274,3e-05,825.55
4,0.5467197207144763,0.9782734646581692,0.9040097040099067,0.8689189189189189,0.8101308498832271,0.8846394844778465,0.8413232541252027,0.871806848559318,3e-05,635.0
5,0.538690759643895,0.9797219003476245,0.9062772085537781,0.8594594594594595,0.8109888839258437,0.8555087373514098,0.826074013372574,0.8623323496582163,3e-05,427.8
6,0.5276831980375951,0.9855156431054461,0.9044117880834116,0.8702702702702703,0.8303766653799237,0.8810295706847432,0.849749302188987,0.8732944990112421,3e-05,405.67
7,0.5267730102478284,0.9823290845886443,0.8830863999353873,0.8756756756756757,0.8149818485419453,0.891330957117595,0.8427311240410371,0.8786712982617281,3e-05,409.13
8,0.5201418362514721,0.9889918887601391,0.9047415362822043,0.8756756756756757,0.8251891316362951,0.8860877787601925,0.848922075649533,0.8786057167997207,3e-05,607.77
