epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.6367775851025366,0.9380069524913094,0.9178770608193165,0.8716216216216216,0.8150848456265345,0.8983183822084685,0.8469970348942719,0.8757188888966992,0.001,450.71
2,0.6282800434638561,0.9406141367323291,0.8931662540178041,0.8810810810810811,0.8340567125910693,0.889568904116318,0.8561914112325877,0.8839274469208851,0.001,409.64
3,0.5692499902267721,0.9666859791425261,0.90880860058037,0.8783783783783784,0.8346986316489455,0.8805985362019845,0.8528480495381034,0.8807615616130052,5e-05,527.12
4,0.5490941091042405,0.9785631517960602,0.9092822901300481,0.8635135135135135,0.8130192655779803,0.881396748207093,0.8406547830137628,0.866809755746891,5e-05,524.24
5,0.5398988256863343,0.9805909617612978,0.9140021813882364,0.8513513513513513,0.8100755916425239,0.8417635266234405,0.8204018085737537,0.8546121539401648,5e-05,521.17
6,0.5294311285571456,0.9855156431054461,0.9101847608347197,0.8675675675675676,0.8202079353315358,0.8778467003143727,0.8421989446983259,0.8704399528001289,5e-05,1188.06
7,0.5278941695411126,0.9817497103128621,0.8839493964169477,0.8716216216216216,0.8159866818077912,0.8870505452402003,0.8420124480274542,0.8738191457631238,5e-05,528.78
8,0.5209828568913846,0.9875434530706837,0.905524634187286,0.8824324324324324,0.8386585723421942,0.8941592371549267,0.8597914909423585,0.884871796696415,5e-05,2237.85
9,0.5220574839504679,0.9863847045191193,0.9113414690301225,0.8702702702702703,0.8041928304965054,0.8895883989095196,0.8361812139929657,0.8738371320495578,5e-05,356.52
10,0.5174045678085689,0.9892815758980301,0.9253190831558125,0.8581081081081081,0.8247314451614965,0.8617834512231064,0.8371407531643648,0.8587727743001587,5e-05,344.33
11,0.5172773309544092,0.9895712630359212,0.9207354266901274,0.8621621621621621,0.8075655063280269,0.8621487867177522,0.8266835086087858,0.8647995888926255,5e-05,341.33
12,0.5199922993520182,0.9904403244495944,0.9094025033551294,0.8716216216216216,0.8091920253433068,0.8746662859809412,0.8352590508535424,0.8747696133815116,5e-05,345.42
13,0.5128738905021517,0.9933371958285052,0.9160585060312941,0.8621621621621621,0.8056742953193963,0.8541158574024954,0.8240393782192518,0.8651173509770076,5e-05,370.45
