epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,learning_rate,elapsed_seconds
4,0.8852797456577783,0.816917728852839,0.9919310693805282,0.8189189189189189,0.759636016404744,0.823933166737839,0.0009953895432879838,725.78
5,0.8211416554478616,0.8505214368482039,1.0014749000201355,0.8216216216216217,0.7565193170123314,0.8272922470982821,0.0009816440572371606,1857.26
6,0.6002873814948603,0.9600231749710313,0.9622577950761125,0.8554054054054054,0.7947055994015039,0.8588156393362032,0.0009590195942451991,2915.53
7,0.7807849905305776,0.8719582850521437,0.993539653275464,0.8216216216216217,0.7616648390752446,0.8302939367493091,0.0009279376052505117,4032.69
8,0.7439559370728246,0.8823870220162224,0.9419038424620757,0.845945945945946,0.7891355591242001,0.8517390285635666,0.0008889770888986878,4991.22
9,0.7080538646163698,0.9046929316338355,0.9520845749893704,0.8581081081081081,0.7993884231695456,0.8601372382231606,0.0008428638058932338,5728.09
10,0.6983961518918653,0.9009269988412515,0.9691783130168915,0.8418918918918918,0.7930560090650901,0.8499915049042046,0.0007904567594468592,6752.96
